,id,trial,radius,distance,latency,hit,time,accuracy,click_x,click_y,target_x,target_y,click_time
0,2,0,25,110,0,True,48.468411922454834,11.40175425099138,449,347,460.0,350.0,1719592923.619213
1,2,0,25,110,0,True,0.9775769710540771,13.06070061452744,261,294,250.8934245307339,302.2727886970686,1719592972.0879822
2,2,0,25,110,0,True,0.7899448871612549,13.132866642753779,429,444,418.5838782044607,436.0014630714833,1719592973.065817
3,2,0,25,110,0,True,0.7730441093444824,12.557408223548931,332,232,325.5226972648054,242.7579296599994,1719592973.8559968
4,2,0,25,110,0,True,0.8445601463317871,21.517717191119615,317,477,325.5226972648054,457.2420703400006,1719592974.629371
5,2,0,25,110,0,True,0.9005069732666016,17.56564482972506,423,281,418.5838782044607,263.9985369285167,1719592975.474165
6,2,0,25,110,0,True,0.7982909679412842,16.89194856148837,262,385,250.8934245307339,397.72721130293144,1719592976.374923
7,2,1,15,70,0,True,1.0446839332580566,10.827428391753825,289,309,286.93217924683063,319.6281382617709,1719592977.178205
8,2,1,15,70,0,True,0.8390200138092041,12.944363990468606,396,392,393.64428613011137,404.7282037727621,1719592978.22307
9,2,1,15,70,0,True,0.7507326602935791,9.353909480110891,333,291,334.423534623058,281.75504614727237,1719592979.0623932
10,2,1,15,70,0,True,0.7309408187866211,7.229717995216695,337,425,334.423534623058,418.24495385272763,1719592979.813343
11,2,1,15,70,0,True,0.8662211894989014,11.62037208699777,400,305,393.64428613011137,295.2717962272379,1719592980.544468
12,2,1,15,70,0,True,1.070310115814209,7.247750820268045,284,387,286.9321792468307,380.3718617382291,1719592981.4108958
13,2,1,15,70,0,True,1.03466796875,10.04987562112089,430,351,420.0,350.0,1719592982.481436
14,2,2,50,180,0,True,0.7824509143829346,35.30124608313046,427,493,462.22816433457206,490.72966684424534,1719592983.521885
15,2,2,50,180,0,True,0.7666077613830566,8.514021797568626,314,182,309.9462318878634,174.51297580727174,1719592984.3047402
16,2,2,50,180,0,True,0.8398377895355225,27.108197359903603,336,518,309.9462318878634,525.4870241927283,1719592985.071767
17,2,2,50,180,0,True,0.8484399318695068,13.909294301143728,460,223,462.228164334572,209.27033315575463,1719592985.912002
18,2,2,50,180,0,True,0.8155498504638672,20.72410458704865,171,416,187.82560377756457,428.09907304116047,1719592986.760961
19,2,2,50,180,0,True,0.6454148292541504,39.05124837953327,555,380,530.0,350.0,1719592987.5769432
20,2,2,50,180,0,True,0.8266162872314453,21.932391756114914,189,250,187.82560377756457,271.9009269588396,1719592988.2228868
21,2,0,25,110,0,True,0.9514880180358887,6.917516654184008,327,236,325.5226972648054,242.7579296599994,1719592989.0520298
22,2,0,25,110,0,True,0.7140200138092041,11.69424463079236,337,455,325.5226972648054,457.2420703400006,1719592990.003747
23,2,0,25,110,0,True,0.8300020694732666,7.082220174978545,425,261,418.5838782044607,263.9985369285167,1719592990.718026
24,2,0,25,110,0,True,0.898658037185669,3.3572015449822667,254,399,250.8934245307339,397.72721130293144,1719592991.5482628
25,2,0,25,110,0,True,1.0829238891601562,21.400934559032695,473,367,460.0,350.0,1719592992.447145
26,2,0,25,110,0,True,0.6862151622772217,20.342878002994368,269,293,250.8934245307339,302.2727886970686,1719592993.530366
27,2,0,25,110,0,True,0.7088489532470703,14.573451691700074,412,423,418.5838782044607,436.0014630714833,1719592994.216804
28,2,1,15,70,0,True,0.7834558486938477,9.356651248977979,330,410,334.423534623058,418.24495385272763,1719592994.928905
29,2,1,15,70,0,True,1.101090908050537,3.4338165808947707,397,296,393.64428613011137,295.2717962272379,1719592995.712655
30,2,1,15,70,0,True,0.8583390712738037,7.628439748418666,287,388,286.9321792468307,380.3718617382291,1719592996.813973
31,2,1,15,70,0,True,0.7505998611450195,9.219544457292887,426,357,420.0,350.0,1719592997.672533
32,2,1,15,70,0,True,0.8995499610900879,6.100246418669782,293,319,286.93217924683063,319.6281382617709,1719592998.423309
33,2,1,15,70,0,True,0.7191691398620605,11.278312399952334,383,401,393.64428613011137,404.7282037727621,1719592999.3229618
34,2,1,15,70,0,True,0.9203372001647949,12.50700233009175,326,291,334.423534623058,281.75504614727237,1719593000.0423648
35,2,2,50,180,0,True,0.9795229434967041,20.14828595795676,451,226,462.228164334572,209.27033315575463,1719593000.965638
36,2,2,50,180,0,True,0.7751491069793701,17.835439474567792,199,442,187.82560377756457,428.09907304116047,1719593001.9456818
37,2,2,50,180,0,True,0.5714261531829834,31.400636936215164,549,375,530.0,350.0,1719593002.721108
38,2,2,50,180,0,True,0.6108489036560059,8.40285380000059,181,267,187.82560377756457,271.9009269588396,1719593003.292861
39,2,2,50,180,0,True,0.7956109046936035,32.996167575207984,446,462,462.22816433457206,490.72966684424534,1719593003.904096
40,2,2,50,180,0,True,0.5828170776367188,17.29991386891774,298,162,309.9462318878634,174.51297580727174,1719593004.700043
41,2,2,50,180,0,True,0.8065671920776367,10.30536025864427,317,533,309.9462318878634,525.4870241927283,1719593005.2832708
42,2,0,25,110,0,True,0.9962761402130127,12.662353871645818,259,388,250.8934245307339,397.72721130293144,1719593006.093091
43,2,0,25,110,0,True,0.6586551666259766,20.615528128088304,479,358,460.0,350.0,1719593007.0895889
44,2,0,25,110,0,True,0.6760501861572266,4.69356267096764,255,300,250.8934245307339,302.2727886970686,1719593007.748435
45,2,0,25,110,0,True,0.6803250312805176,12.773756730545017,431,433,418.5838782044607,436.0014630714833,1719593008.424735
46,2,0,25,110,0,True,0.7933080196380615,12.99729683964404,319,254,325.5226972648054,242.7579296599994,1719593009.105263
