,id,trial,radius,distance,latency,hit,time,accuracy,click_x,click_y,target_x,target_y,click_time
0,0,0,25,110,0,True,8.664422750473022,15.132745950421556,475,348,460.0,350.0,1719502983.706155
1,0,0,25,110,0,True,1.3479769229888916,17.126475444132954,238,291,250.8934245307339,302.2727886970686,1719502992.371427
2,0,0,25,110,0,True,1.0350110530853271,11.73284100403057,410,444,418.5838782044607,436.0014630714833,1719502993.719746
3,0,0,25,110,0,True,1.0317330360412598,17.919605219007178,312,231,325.5226972648054,242.7579296599994,1719502994.755084
4,0,0,25,110,0,True,1.0155470371246338,8.334484219686576,320,451,325.5226972648054,457.2420703400006,1719502995.787204
5,0,0,25,110,0,True,1.0827510356903076,15.068155004010206,420,279,418.5838782044607,263.9985369285167,1719502996.803027
6,0,0,25,110,0,True,0.8844070434570312,13.324727258346266,260,388,250.8934245307339,397.72721130293144,1719502997.8860438
7,0,1,15,70,0,True,1.0626931190490723,12.631290831052908,297,312,286.93217924683063,319.6281382617709,1719502998.774613
8,0,1,15,70,0,True,1.0821750164031982,3.291076254023824,394,408,393.64428613011137,404.7282037727621,1719502999.837905
9,0,1,15,70,0,True,1.0153539180755615,14.671468636164104,325,293,334.423534623058,281.75504614727237,1719503000.920419
10,0,1,15,70,0,True,1.0174939632415771,9.050087520884087,329,411,334.423534623058,418.24495385272763,1719503001.936071
11,0,1,15,70,0,True,1.647378921508789,5.969650937440445,390,300,393.64428613011137,295.2717962272379,1719503002.953853
12,0,1,15,70,0,True,0.9014708995819092,1.1240621976218261,286,381,286.9321792468307,380.3718617382291,1719503004.601408
13,0,1,15,70,0,True,1.1657209396362305,12.041594578792296,429,342,420.0,350.0,1719503005.503131
14,0,2,50,180,0,True,0.8934428691864014,10.63780128063745,465,501,462.22816433457206,490.72966684424534,1719503006.675854
15,0,2,50,180,0,True,1.7495779991149902,28.710204293485525,295,150,309.9462318878634,174.51297580727174,1719503007.569767
16,0,2,50,180,0,True,0.8666110038757324,30.741362855943642,306,495,309.9462318878634,525.4870241927283,1719503009.319725
17,0,2,50,180,0,True,0.816072940826416,11.168218649234902,456,200,462.228164334572,209.27033315575463,1719503010.1868129
18,0,2,50,180,0,True,1.1642670631408691,27.11348025397298,163,439,187.82560377756457,428.09907304116047,1719503011.0033238
19,0,2,50,180,0,True,1.1028389930725098,41.72529209005013,559,320,530.0,350.0,1719503012.167886
20,0,2,50,180,0,False,0.2137298583984375,374.2779090976495,559,320,187.82560377756457,271.9009269588396,1719503013.271321
21,0,0,25,110,0,True,1.2304801940917969,8.033630382442807,329,250,325.5226972648054,242.7579296599994,1719503013.489714
22,0,0,25,110,0,True,1.2482450008392334,16.826966852339513,324,474,325.5226972648054,457.2420703400006,1719503014.720497
23,0,0,25,110,0,True,1.3002820014953613,19.042931043806313,410,247,418.5838782044607,263.9985369285167,1719503015.968983
24,0,0,25,110,0,True,1.3151280879974365,13.302313407275845,238,401,250.8934245307339,397.72721130293144,1719503017.269574
25,0,0,25,110,0,True,0.885535717010498,5.0990195135927845,465,349,460.0,350.0,1719503018.58488
26,0,0,25,110,0,True,0.8959250450134277,13.06070061452744,261,294,250.8934245307339,302.2727886970686,1719503019.4708219
27,0,0,25,110,0,True,1.0704450607299805,12.785422172850492,423,448,418.5838782044607,436.0014630714833,1719503020.3668458
28,0,1,15,70,0,True,1.4461650848388672,3.1174285585457193,337,420,334.423534623058,418.24495385272763,1719503021.441032
29,0,1,15,70,0,True,1.099440097808838,3.799387445840784,391,298,393.64428613011137,295.2717962272379,1719503022.887669
30,0,1,15,70,0,True,0.8160767555236816,2.0317170860589275,285,381,286.9321792468307,380.3718617382291,1719503023.9874072
31,0,1,15,70,0,True,0.9164679050445557,6.324555320336759,422,344,420.0,350.0,1719503024.803828
32,0,1,15,70,0,True,0.8291630744934082,5.70481362025364,286,314,286.93217924683063,319.6281382617709,1719503025.720584
33,0,1,15,70,0,True,1.2701811790466309,6.789192872529674,390,399,393.64428613011137,404.7282037727621,1719503026.549856
34,0,1,15,70,0,True,0.8459830284118652,6.348278940760818,338,287,334.423534623058,281.75504614727237,1719503027.820369
35,0,2,50,180,0,True,1.052610158920288,46.99915213335355,499,180,462.228164334572,209.27033315575463,1719503028.6680498
36,0,2,50,180,0,True,0.815054178237915,4.978597845232698,185,424,187.82560377756457,428.09907304116047,1719503029.7211149
37,0,2,50,180,0,True,0.9319937229156494,26.1725046566048,512,331,530.0,350.0,1719503030.536708
38,0,2,50,180,0,True,1.2334861755371094,19.011327934917425,173,260,187.82560377756457,271.9009269588396,1719503031.4690938
39,0,2,50,180,0,True,0.898435115814209,34.497101064640354,429,500,462.22816433457206,490.72966684424534,1719503032.703017
40,0,2,50,180,0,True,0.917741060256958,38.643631123429124,285,145,309.9462318878634,174.51297580727174,1719503033.601846
41,0,2,50,180,0,True,0.8010401725769043,17.22501568323286,294,532,309.9462318878634,525.4870241927283,1719503034.519968
42,0,0,25,110,0,True,1.2958109378814697,23.059925327553422,261,377,250.8934245307339,397.72721130293144,1719503035.325221
43,0,0,25,110,0,True,1.0155539512634277,10.295630140987,465,341,460.0,350.0,1719503036.621366
44,0,0,25,110,0,True,0.9161219596862793,17.223462347477593,266,294,250.8934245307339,302.2727886970686,1719503037.637316
45,0,0,25,110,0,True,1.0156810283660889,8.081882242825298,424,442,418.5838782044607,436.0014630714833,1719503038.55381
46,0,0,25,110,0,True,0.8346798419952393,13.33062624539574,336,251,325.5226972648054,242.7579296599994,1719503039.569816
47,0,0,25,110,0,True,0.7958950996398926,8.91464175800924,334,460,325.5226972648054,457.2420703400006,1719503040.4048781
48,0,0,25,110,0,True,0.9200351238250732,3.0577269870153603,418,267,418.5838782044607,263.9985369285167,1719503041.200935
49,0,1,15,70,0,True,1.2284982204437256,3.1622776601683795,417,349,420.0,350.0,1719503042.1244538
50,0,1,15,70,0,True,0.8334317207336426,8.769949124415652,280,325,286.93217924683063,319.6281382617709,1719503043.3532102
51,0,1,15,70,0,True,0.9808492660522461,6.524003101711089,388,408,393.64428613011137,404.7282037727621,1719503044.186972
52,0,1,15,70,0,True,1.0012891292572021,9.426717731105512,325,282,334.423534623058,281.75504614727237,1719503045.167975
53,0,1,15,70,0,True,0.8006730079650879,2.7245972481418748,332,417,334.423534623058,418.24495385272763,1719503046.169548
54,0,1,15,70,0,True,1.017307996749878,6.309086114500657,391,301,393.64428613011137,295.2717962272379,1719503046.970527
55,0,1,15,70,0,True,0.9466118812561035,13.073110585829273,300,380,286.9321792468307,380.3718617382291,1719503047.988116
56,0,2,50,180,0,True,0.8987209796905518,35.87645464845771,168,242,187.82560377756457,271.9009269588396,1719503048.9377851
57,0,2,50,180,0,True,0.8997230529785156,18.531519558775315,478,481,462.22816433457206,490.72966684424534,1719503049.8369448
58,0,2,50,180,0,True,0.8811099529266357,19.929607641951907,314,155,309.9462318878634,174.51297580727174,1719503050.7371368
59,0,2,50,180,0,True,0.8004229068756104,7.76096798356919,308,533,309.9462318878634,525.4870241927283,1719503051.618549
60,0,2,50,180,0,True,0.9181969165802002,28.271253875640713,462,181,462.228164334572,209.27033315575463,1719503052.419424
61,0,2,50,180,0,True,0.9320991039276123,10.565837048107648,180,421,187.82560377756457,428.09907304116047,1719503053.3381288
62,0,2,50,180,0,True,0.9153580665588379,24.596747752497688,541,328,530.0,350.0,1719503054.270818
